index,time,sleep,duration,overruns
0,1712169269508866,0,0,0
1,1712169269509920,993,6,0
2,1712169269510973,998,1,0
3,1712169269512026,999,0,0
4,1712169269513078,999,0,0
5,1712169269514131,998,1,0
6,1712169269515183,999,0,0
7,1712169269516240,999,0,0
8,1712169269517294,997,2,0
9,1712169269518346,998,1,0
10,1712169269519399,999,0,0
11,1712169269520452,999,0,0
12,1712169269521504,999,0,0
13,1712169269522557,999,0,0
14,1712169269523609,999,0,0
15,1712169269524662,999,0,0
16,1712169269525714,999,0,0
17,1712169269526766,999,0,0
18,1712169269527819,999,0,0
19,1712169269528871,999,0,0
20,1712169269529923,999,0,0
21,1712169269530976,999,0,0
22,1712169269532028,999,0,0
23,1712169269533081,999,0,0
24,1712169269534133,999,0,0
25,1712169269535185,999,0,0
26,1712169269536238,999,0,0
27,1712169269537290,999,0,0
28,1712169269538342,999,0,0
29,1712169269539394,999,0,0
30,1712169269540446,999,0,0
31,1712169269541499,999,0,0
32,1712169269542551,999,0,0
33,1712169269543604,999,0,0
34,1712169269544656,999,0,0
35,1712169269545708,998,1,0
36,1712169269546760,999,0,0
37,1712169269547813,999,0,0
38,1712169269548865,999,0,0
39,1712169269549918,999,0,0
40,1712169269550970,999,0,0
41,1712169269552023,999,0,0
42,1712169269553075,999,0,0
43,1712169269554127,999,0,0
44,1712169269555180,999,0,0
45,1712169269556235,999,0,0
46,1712169269557289,998,1,0
47,1712169269558343,999,0,0
48,1712169269559397,998,1,0
49,1712169269560450,999,0,0
50,1712169269561503,999,0,0
51,1712169269562555,999,0,0
52,1712169269563608,999,0,0
53,1712169269564660,999,0,0
54,1712169269565711,999,0,0
55,1712169269566763,999,0,0
56,1712169269567816,999,0,0
57,1712169269568868,998,1,0
58,1712169269569920,999,0,0
59,1712169269570973,999,0,0
60,1712169269572025,999,0,0
61,1712169269573078,999,0,0
62,1712169269574130,999,0,0
63,1712169269575182,999,0,0
64,1712169269576235,999,0,0
65,1712169269577287,998,1,0
66,1712169269578339,999,0,0
67,1712169269579392,999,0,0
68,1712169269580444,999,0,0
69,1712169269581497,999,0,0
